"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "Markdown", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\.eslintrc.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 9, 59
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 57
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\file-upload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 182, 0, 0, 12, 194
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 0, 11, 118
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\Improvement.md", "Markdown", 0, 0, 0, 0, 47, 0, 0, 0, 0, 18, 65
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\SendEmail\Mailpop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
