"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 26, 0, 5, 31
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 182, 0, 19, 201
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\HomePageUi.tsx", "TypeScript JSX", 0, 0, 29, 0, 4, 33
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\NavBar.tsx", "TypeScript JSX", 0, 0, 38, 0, 5, 43
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\Theme-provider.tsx", "TypeScript JSX", 0, 0, 7, 0, 3, 10
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\Menu.tsx", "TypeScript JSX", 0, 0, 26, 0, 6, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\NavMenu.tsx", "TypeScript JSX", 0, 0, 11, 0, 5, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\PageWrapper.tsx", "TypeScript JSX", 0, 0, 26, 9, 5, 40
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\Theme.tsx", "TypeScript JSX", 0, 0, 39, 0, 7, 46
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\HeroSection.tsx", "TypeScript JSX", 0, 0, 18, 1, 4, 23
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\State Handlers\StateHnadler.ts", "TypeScript", 17, 0, 0, 0, 4, 21
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\page.tsx", "TypeScript JSX", 0, 0, 10, 0, 3, 13
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Home\HomePage.tsx", "TypeScript JSX", 0, 0, 29, 0, 2, 31
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\ProductDetails.tsx", "TypeScript JSX", 0, 0, 55, 0, 6, 61
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\ProductImages.tsx", "TypeScript JSX", 0, 0, 47, 0, 5, 52
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\Ratings.tsx", "TypeScript JSX", 0, 0, 36, 4, 9, 49
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\Size.tsx", "TypeScript JSX", 0, 0, 17, 0, 5, 22
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\CropUtils.tsx", "TypeScript JSX", 0, 0, 31, 0, 6, 37
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\LoadingSchedule.tsx", "TypeScript JSX", 0, 0, 23, 0, 4, 27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\Pinwheel.tsx", "TypeScript JSX", 0, 0, 23, 0, 5, 28
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\SquareLoading.tsx", "TypeScript JSX", 0, 0, 23, 0, 4, 27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ManageProducts.tsx", "TypeScript JSX", 0, 0, -16, 0, -2, -18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\PackageSize.tsx", "TypeScript JSX", 0, 0, 0, 0, -2, -2
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductImages.tsx", "TypeScript JSX", 0, 0, 50, 27, 10, 87
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductTable.tsx", "TypeScript JSX", 0, 0, 84, 0, 13, 97
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\newProduct.tsx", "TypeScript JSX", 0, 0, -25, 0, -3, -28
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Edit_Product\Edit_ProductImages.tsx", "TypeScript JSX", 0, 0, 48, 1, 7, 56
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Edit_Product\Edit_ProductInformation.tsx", "TypeScript JSX", 0, 0, 251, 3, 39, 293
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Edit_Product\page.tsx", "TypeScript JSX", 0, 0, 33, 0, 7, 40
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\axios\axios.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\DeleteProduct.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\EditProduct.ts", "TypeScript", 79, 0, 0, 2, 7, 88
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\ReusableHooks.ts", "TypeScript", 27, 0, 0, 0, 1, 28
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\UseHooks.ts", "TypeScript", 0, 0, 0, 0, -1, -1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\types\types.ts", "TypeScript", 17, 0, 0, 0, 0, 17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\layout.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 9
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\page.tsx", "TypeScript JSX", 0, 0, 1, 0, -5, -4
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\package-lock.json", "JSON", 0, 5251, 0, 0, 0, 5251
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\package.json", "JSON", 0, 7, 0, 0, 0, 7
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\api\index.ts", "TypeScript", 0, 0, 0, 0, -1, -1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\controllers\userController.ts", "TypeScript", 0, 0, 0, 0, -7, -7
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\models\product.ts", "TypeScript", 2, 0, 0, 0, -1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\routes\protectedRoutes.ts", "TypeScript", 54, 0, 0, 0, 6, 60
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\services\sendMail.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"Total", "-", 220, 5258, 1131, 47, 191, 6847
