"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\label.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\radio-group.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 6, 45
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\select.tsx", "TypeScript JSX", 0, 146, 0, 0, 0, 0, 0, 15, 161
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\Improvement.md", "Markdown", 0, 0, 0, 0, 0, -47, 0, -18, -65
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\__mocks__\FileMock.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\__tests__\page.test.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 3, 4, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\__tests__\snapshot.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\AuthCheck.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\Form.tsx", "TypeScript JSX", 0, 127, 0, 0, 0, 0, 0, 14, 141
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\LoginImage.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\RegistrationForm.tsx", "TypeScript JSX", 0, 149, 0, 0, 0, 0, 0, 20, 169
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\AuthOnline.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\AuthStyle.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\IconSide.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\Input.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\LoginWrapper.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Login\Login_Form.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\SignUp\SignUp_Form.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\StateHandlers\Form.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\StateHandlers\RegisterForm.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\page.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 2, 4, 26
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\SendEmail\Mailpop.tsx", "TypeScript JSX", 0, -20, 0, 0, 0, 0, 0, -4, -24
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\SendEmail\mail.css", "CSS", 0, 0, 0, 0, -72, 0, -1, -11, -84
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\auth\Css\Animation.css", "CSS", 0, 0, 0, 0, -22, 0, 0, -5, -27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\auth\Css\Background.css", "CSS", 0, 0, 0, 0, -85, 0, 0, -49, -134
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\auth\Css\load.css", "CSS", 0, 0, 0, 0, -34, 0, -1, -5, -40
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\auth\LoginForm.tsx", "TypeScript JSX", 0, -213, 0, 0, 0, 0, -2, -105, -320
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\auth\page.tsx", "TypeScript JSX", 0, -9, 0, 0, 0, 0, 0, -6, -15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\hooks\useForm.ts", "TypeScript", -15, 0, 0, 0, 0, 0, 0, -7, -22
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\HomePageUi.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\NavBar.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 0, 13, 3, 73
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\OptionWrapper.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 3, 29
